BBDD_ID,PRICE,CONTRUCTION_DATE,NEIGHBORHOOD,PARKING_LOTS,AREA,ADMINISTRATION_PRICE,STRATUM,STORAGE_ROOM,BEDROOM,BATHROOM,HALF_BATHROOM,VIEW_TYPE,PARKING_LOT_TYPES,KITCHEN_FEATURES,BALCONIES,LIVING_ROOMS,DINNING_ROOMS,LAUNDRY_AREAS,SERVICE_ROOMS,DRESSING_ROOMS,SERVICE_BATHROOMS,STUDYING_ROOMS,GREEN_ZONES,GYM,POOL,TURCO,VISITOR_PARKING_LOTS,YARD,KIDS_PARK,BBQ,SOCIAL_ROOM,SPORTS_FIELD,SOLARIUM
302183,320000000,1996-01-01 5:00:00,San Diego,1,79,260000,5,,3,2,,,,Integral,1,1,1,1,,1,,,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO
143333,270000000,2020-01-01 5:00:00,Rodeo Alto,1,66,0,4,1,2,2,0,Exterior,Cubierto,Integral,1,0,,1,0,0,0,0,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES
218223,980000000,2014-01-01 5:00:00,La Tomatera,2,190,560000,6,,3,4,,,,,1,,,1,1,1,,1,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO
431678,290000000,2004-01-01 5:00:00,San Germán,1,60,165000,4,,3,2,,,Cubierto,Integral,1,1,1,1,,,,,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO
407557,225000000,2019-01-01 5:00:00,Rodeo Alto,1,51,0,4,,2,2,,,Cubierto,,1,1,1,1,,,,,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO
431878,600000000,2001-01-01 5:00:00,Castropol,2,148,482000,6,1,3,3,,,,,1,,,,,1,,,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO
324044,385000000,2010-01-01 5:00:00,Los Almendros,0,124,0,4,,3,2,,,,Integral,1,,,,1,1,1,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
325976,490000000,1998-01-01 5:00:00,Boston,2,102,820000000,5,,4,3,,,,Integral,,1,1,1,1,,1,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
379328,520000000,1981-01-01 5:00:00,Patio Bonito,1,136,0,5,,4,2,,Ciudad,,Integral,1,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
478007,170000000,2004-01-01 5:00:00,Loma de los Bernal,0,52,152900,,,3,2,0,,,Sencilla,1,1,1,1,,1,,,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO
411977,560000000,2018-01-01 5:00:00,Los Balsos,1,85,380000,,,2,2,1,Calle,Independiente,Abierta,1,1,1,1,,1,,,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO
412965,200000000,2005-01-01 5:00:00,Calasanz,1,36,130000000,,,1,1,0,,,"Abierta,Integral",1,1,1,1,,,,,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO
297668,550000000,2006-01-01 5:00:00,Calasanz,2,103.0299988,443700,,,3,1,0,Exterior,Lineal,"Abierta,Integral",1,,,1,,1,,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
297681,420000000,1988-01-01 5:00:00,El Campestre,2,101,827000,,,3,3,1,Exterior,"Cubierto,Lineal,Independiente",Integral,,1,1,,1,1,1,,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO
298178,1120000000,2014-01-01 5:00:00,Los Balsos,2,199,675400,,,3,3,1,,Paralelo,"Abierta,Integral",1,,,1,1,1,1,1,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO
298180,670000000,1984-01-01 5:00:00,Barrio Laureles,2,181,598000,,,5,3,0,,Lineal,Integral,1,1,1,1,1,,1,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
298187,360000000,2014-01-01 5:00:00,Loma de los Bernal,1,67,259100,,,2,2,0,,,Integral,1,1,1,1,,,,,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO
298189,640000000,2019-01-01 5:00:00,Los Balsos,2,82.54000092,700000,,,1,2,0,Ciudad,,"Abierta,Integral",1,,,1,,1,,,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
298191,640000000,2017-01-01 5:00:00,Alejandría,2,113,547100,,,2,2,1,Jardines,Independiente,Abierta,1,1,1,,1,1,,,NO,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO
298200,600000000,1996-01-01 5:00:00,Los Balsos,2,108,378302,,,3,3,0,,,Integral,1,,,1,,,1,1,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO
298890,520000000,2016-01-01 5:00:00,La Villa,1,126,0,,,4,3,1,,Cubierto,Integral,1,1,1,1,,1,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
298900,290000000,1996-01-01 5:00:00,Barrio La América,1,83,176000,,,3,2,0,,,Integral,1,1,1,1,1,,1,,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
